,0
0,3380.001
1,3385.0
2,3385.0
3,3385.0
4,3865.0
5,3865.0
6,3865.0
7,3865.0
8,3865.0
9,3865.0
10,3865.0
11,4345.0
12,4345.0
13,4345.0
14,4825.0
15,4825.0
16,4825.0
17,4825.0
18,4825.0
19,4825.0
20,4825.0
21,5405.0
22,5405.0
23,4825.0
24,4825.0
25,5305.0
26,5305.0
27,5305.0
28,5305.0
29,5305.0
30,5305.0
31,5305.0
32,5305.0
33,5305.0
34,5305.0
35,5785.0
36,5785.0
37,5785.0
38,5785.0
39,5785.0
40,5785.0
41,5785.0
42,5980.0
43,6560.0
44,6560.0
45,6560.0
46,6560.0
47,6560.0
48,6560.0
49,6560.0
50,6560.0
51,6560.0
52,6365.0
53,5785.0
54,5785.0
55,5785.0
56,5785.0
57,5785.0
58,5785.0
59,5785.0
60,5785.0
61,5785.0
62,5785.0
63,5785.0
64,5785.0
65,5785.0
66,5785.0
67,5785.0
68,5785.0
69,5785.0
70,5785.0
71,5785.0
72,5980.0
73,6560.0
74,6560.0
75,6560.0
76,6560.0
77,6560.0
78,6560.0
79,6560.0
80,6560.0
81,6365.0
82,6365.0
83,5785.0
84,5785.0
85,5785.0
86,5765.001
87,5765.001
88,5785.0
89,5785.0
90,5765.001
91,5785.0
92,5785.0
93,5785.0
94,5785.0
95,5785.0
96,5785.0
97,5785.0
98,5785.0
99,5785.0
100,5785.0
101,5785.0
102,5785.0
103,5785.0
104,5785.0
105,5785.0
106,5798.0
107,5798.0
108,5798.0
109,5798.0
110,5798.0
111,5798.0
112,5837.0
113,5837.0
114,6417.0
115,6417.0
116,6417.0
117,6417.0
118,6417.0
119,6417.0
120,6417.0
121,6417.0
122,6612.0
123,6612.0
124,6012.001
125,6012.001
126,6032.0
127,6032.0
128,6032.0
129,6032.0
130,6032.0
131,6032.0
132,5837.0
133,5837.0
134,5837.0
135,5837.0
136,5837.0
137,5837.0
138,5837.0
139,5837.0
140,5837.0
141,5837.0
142,5824.0
143,5824.0
144,5824.0
145,5824.0
146,5824.0
147,6404.0
148,6404.0
149,6404.0
150,6404.0
151,6404.0
152,6612.0
153,6612.0
154,6612.0
155,6612.0
156,6612.0
157,6032.0
158,6032.0
159,6032.0
160,6032.0
161,6032.0
162,5837.0
163,5837.0
164,5837.0
165,5837.0
166,5837.0
167,5837.0
168,5837.0
169,5837.0
170,5837.0
171,5811.0
172,5811.0
173,5811.0
174,5811.0
175,5811.0
176,5811.0
177,6391.0
178,6391.0
179,6378.0
180,6378.0
181,6378.0
182,6573.0
183,6573.0
184,6573.0
185,6573.0
186,6573.0
187,5993.0
188,5993.0
189,5993.0
190,5993.0
191,6032.0
192,5837.0
193,5837.0
194,5837.0
195,5811.0
196,5811.0
197,5811.0
198,5811.0
199,5811.0
200,5811.0
201,5811.0
202,5811.0
203,5811.0
204,5811.0
205,5811.0
206,5811.0
207,6391.0
208,6391.0
209,6391.0
210,6391.0
211,6391.0
212,6586.0
213,6586.0
214,6586.0
215,6586.0
216,6586.0
217,6006.0
218,6006.0
219,6006.0
220,5980.001
221,6032.0
222,5837.0
223,5837.0
224,5837.0
225,5837.0
226,5837.0
227,5837.0
228,5837.0
229,5837.0
230,5837.0
231,5837.0
232,5837.0
233,5837.0
234,5837.0
235,5837.0
236,5837.0
237,6417.0
238,6417.0
239,6417.0
240,6417.0
241,6417.0
242,6612.0
243,6612.0
244,6612.0
245,6612.0
246,6612.0
247,6032.0
248,6032.0
249,6032.0
250,6032.001
251,6032.001
252,5837.001
253,5837.001
254,5837.001
255,5837.001
256,5837.001
257,5837.001
258,5837.001
259,5837.001
260,5837.001
261,5837.001
262,5837.001
263,5837.001
264,5837.001
265,5837.001
266,5837.001
267,6417.001
268,6417.001
269,6417.001
270,6417.001
271,6417.001
272,6612.001
273,6612.001
274,6612.001
275,6612.001
276,6612.001
277,6032.001
278,6032.001
279,6032.001
280,6032.001
281,5980.002
282,5798.001
283,5798.001
284,5798.001
285,5798.001
286,5798.001
287,5798.001
288,5824.001
289,5824.001
290,5824.001
291,5824.001
292,5824.001
293,5824.001
294,5824.001
295,5824.001
296,5824.001
297,6404.001
298,6378.001
299,6378.001
300,6378.001
301,6378.001
302,6573.001
303,6573.001
304,6573.001
305,6573.001
306,6573.001
307,5993.001
308,5993.001
309,5993.001
310,6032.001
311,6019.001
312,5824.001
313,5785.001
314,5785.001
315,5785.001
316,5785.001
317,5785.001
318,5785.001
319,5785.001
320,5785.001
